id	method	nsnp	b	se	CIlower	CIupper	pval	intercept	intercept_se	inter_CIlower	inter_CIupper	intercept_pval	hetero_Q	hetero_pvale	heterogenity	pleiotropy	fdr
SeqId_4984_83	IVW	3	0.00517074331459694	0.00809812140822598	-0.0107012829879588	0.0210427696171526	0.523140797229599	NA	NA	NA	NA	NA	0.635420817147518	0.727813526456322	FALSE	FALSE	0.854214444730313
SeqId_4232_19	IVW	4	-0.0313396833956345	0.0234833842841397	-0.0773662708276622	0.0146869040363932	0.182024607658123	NA	NA	NA	NA	NA	4.41237219559578	0.220240935540422	FALSE	FALSE	0.618214809211578
SeqId_8289_8	IVW	5	0.0104865670234582	0.0160702714573174	-0.0210105862546659	0.0419837203015823	0.514049984706874	NA	NA	NA	NA	NA	5.86552816163978	0.209418303792292	FALSE	FALSE	0.850762377965409
SeqId_2515_14	IVW	8	0.0137593728301774	0.0127785516442789	-0.0112861281671942	0.0388048738275491	0.281589613110641	NA	NA	NA	NA	NA	11.0949557134402	0.134530395666162	FALSE	FALSE	0.730038305401274
SeqId_2705_5	IVW	3	-0.00460199203498206	0.0061563078456521	-0.0166681336902015	0.00746414962023742	0.454746912649703	NA	NA	NA	NA	NA	6.09507211169839	0.0474757580125337	TRUE	TRUE	0.839259291879552
SeqId_11208_15	IVW	6	0.0178110583524591	0.0087205310439258	0.000719131580301107	0.0349029851246172	0.04110907677746	NA	NA	NA	NA	NA	2.20121810431613	0.82066000212767	FALSE	FALSE	0.318533804491217
SeqId_3171_57	IVW	3	0.00146639629944637	0.0244097853735537	-0.0463759039030714	0.0493086965019641	0.952096604462459	NA	NA	NA	NA	NA	0.00854863000555865	0.995734806880364	FALSE	FALSE	0.994214503190038
SeqId_19213_1	IVW	3	-0.00337221395823141	0.00940796037547408	-0.0218114774621405	0.0150670495456777	0.720012102038633	NA	NA	NA	NA	NA	1.78553771054996	0.409520279111657	FALSE	FALSE	0.931915104135479
SeqId_11387_3	IVW	3	0.180043626554255	0.0177440693655799	0.145265889658538	0.214821363449972	3.42782078370013e-24	NA	NA	NA	NA	NA	6.21229937125629	0.044773014067151	TRUE	TRUE	2.21780004705398e-21
SeqId_2900_53	IVW	5	0.00503993352742898	0.00742636855696919	-0.00951548138015132	0.0195953484350093	0.497357221250475	NA	NA	NA	NA	NA	0.406448755477453	0.981945527663887	FALSE	FALSE	0.850762377965409
SeqId_6227_1	IVW	9	0.00222341132111153	0.00943323714955411	-0.0162653937496398	0.0207122163918628	0.813665689955562	NA	NA	NA	NA	NA	16.6749470538968	0.0336775369100129	TRUE	FALSE	0.968781150533025
SeqId_8244_16	IVW	5	-0.000224776821663447	0.0124773283126579	-0.0246798909377549	0.024230337294428	0.98562703080543	NA	NA	NA	NA	NA	6.2990828529054	0.177898236369476	FALSE	FALSE	0.997165850788642
SeqId_3004_67	IVW	4	0.0168603744996793	0.00988955255270466	-0.00252279232683795	0.0362435413261966	0.0882191811579833	NA	NA	NA	NA	NA	5.04753311839657	0.168349441686001	FALSE	FALSE	0.461681598879807
SeqId_4145_58	IVW	3	-0.0345068420214372	0.0292766455133434	-0.0918880128157364	0.022874328772862	0.238538610072615	NA	NA	NA	NA	NA	0.0360281319401747	0.982147217407759	FALSE	FALSE	0.691225636835567
SeqId_6649_51	IVW	4	0.0211949932202051	0.0217537124996261	-0.0214414998091009	0.0638314862495112	0.329899592605358	NA	NA	NA	NA	NA	17.6633786206764	0.000516057428149841	TRUE	TRUE	0.770406794225736
SeqId_2644_11	IVW	3	-0.0140614217049801	0.0144964052940757	-0.0424738539866642	0.014351010576704	0.332049635943976	NA	NA	NA	NA	NA	0.518336449507566	0.771693194226204	FALSE	FALSE	0.770406794225736
SeqId_12381_26	IVW	3	-0.0114947880624179	0.0113160692977456	-0.0336738763325587	0.0106843002077229	0.309727798292912	NA	NA	NA	NA	NA	0.464897993188752	0.792590173113987	FALSE	FALSE	0.758348481193735
SeqId_17460_51	IVW	3	-0.00559875997726246	0.0116384615478833	-0.0284097254465679	0.017212205492043	0.630476196856569	NA	NA	NA	NA	NA	0.896109429869445	0.63886972736017	FALSE	FALSE	0.890650871978603
SeqId_4209_60	IVW	3	-0.0184731756250902	0.0135614544182649	-0.0450531378628709	0.00810678661269057	0.173140303216221	NA	NA	NA	NA	NA	18.2832693686377	0.000107112091864681	TRUE	FALSE	0.601367601301311
SeqId_9002_36	IVW	7	-0.00454736399380456	0.015873181069762	-0.0356582272106211	0.026563499223012	0.774509781955996	NA	NA	NA	NA	NA	8.88574814180675	0.180106207338887	FALSE	FALSE	0.951372807576698
SeqId_16763_11	IVW	7	-0.00182996413013819	0.007625440642888	-0.0167755531564466	0.0131156248961702	0.81034465472262	NA	NA	NA	NA	NA	10.7010759389841	0.0980661849031478	FALSE	FALSE	0.968781150533025
SeqId_10924_258	IVW	3	-0.00945118346712271	0.0125160333964042	-0.0339821581533756	0.0150797912191301	0.45017332508393	NA	NA	NA	NA	NA	0.71667828816524	0.698836028708515	FALSE	FALSE	0.839259291879552
SeqId_17447_52	IVW	4	-0.0294544654417212	0.0156093917308249	-0.0600483110547154	0.00113938017127305	0.05916426149184	NA	NA	NA	NA	NA	2.0253521502482	0.567161480325261	FALSE	FALSE	0.396676447515238
SeqId_3040_59	IVW	4	0.00102959642717884	0.0111217655478651	-0.0207686634911352	0.0228278563454929	0.926241278298197	NA	NA	NA	NA	NA	0.722961366469576	0.86779037287251	FALSE	FALSE	0.994214503190038
SeqId_6467_65	IVW	3	-0.006291003345316	0.00773908563698543	-0.0214593324670787	0.00887732577644666	0.416282756788365	NA	NA	NA	NA	NA	2.8408632127809	0.24160971409318	FALSE	FALSE	0.833854314681338
SeqId_2381_52	IVW	3	0.0122930590710231	0.016604460030278	-0.0202510845710567	0.0448372027131029	0.459089582419853	NA	NA	NA	NA	NA	4.51330140964059	0.104700571274635	FALSE	FALSE	0.839259291879552
SeqId_16913_8	IVW	7	0.0305805055485537	0.0151791942170226	0.00082983156885081	0.0603311795282566	0.0439431173527165	NA	NA	NA	NA	NA	15.9956456769002	0.0137773582377768	TRUE	FALSE	0.332528619031668
SeqId_5404_53	IVW	8	0.0093744339019124	0.0123072482800735	-0.0147473294758241	0.0334961972796489	0.44623893531017	NA	NA	NA	NA	NA	4.36097696680735	0.737386795814493	FALSE	FALSE	0.839259291879552
SeqId_15388_24	IVW	5	0.0107976186919304	0.00606232323935067	-0.00108431651983715	0.0226795539036979	0.0748957178003473	NA	NA	NA	NA	NA	3.83184338364249	0.429241435050937	FALSE	FALSE	0.439664070761784
SeqId_2590_69	IVW	7	0.0055434828501506	0.00870711533551198	-0.0115221496166893	0.0226091153169905	0.52434552556943	NA	NA	NA	NA	NA	5.72767258399963	0.454377181175481	FALSE	FALSE	0.854214444730313
SeqId_11211_7	IVW	3	-0.00397928933843136	0.00986541605076842	-0.0233151494904408	0.0153565708135781	0.686685263385159	NA	NA	NA	NA	NA	4.68174944605018	0.09624341506872	FALSE	FALSE	0.915052114577268
SeqId_14684_17	IVW	3	0.0317705904170223	0.0154615395996742	0.00146652965612101	0.0620746511779237	0.0398969585472242	NA	NA	NA	NA	NA	3.96699288689163	0.137587329004547	FALSE	FALSE	0.316728002209252
SeqId_8956_96	IVW	3	-0.0322095067963351	0.0139523814458751	-0.0595556719288151	-0.00486334166385511	0.0209696138973651	NA	NA	NA	NA	NA	2.75915879441868	0.251684389957331	FALSE	FALSE	0.238023512133249
SeqId_15472_16	IVW	6	0.00843123136705771	0.00790776260726514	-0.00706769854147452	0.0239301612755899	0.286334678119578	NA	NA	NA	NA	NA	6.58463515015749	0.253408625199281	FALSE	FALSE	0.738081819694689
SeqId_3325_2	IVW	5	0.0187776660113197	0.022838251399198	-0.0259844842009798	0.0635398162236192	0.410961690670974	NA	NA	NA	NA	NA	8.59152354730512	0.0721610437934213	FALSE	FALSE	0.827312813363064
SeqId_4961_17	IVW	3	-0.0161672841759864	0.017449478755513	-0.0503676340857887	0.018033065733816	0.35417601310583	NA	NA	NA	NA	NA	4.17823291814336	0.123796466756323	FALSE	FALSE	0.797509106494841
SeqId_2774_10	IVW	3	0.0150397195641411	0.00719260744866718	0.000942468009818936	0.0291369711184633	0.0365283457837344	NA	NA	NA	NA	NA	0.673259844042683	0.714173090736829	FALSE	FALSE	0.301142207761194
SeqId_3152_57	IVW	3	0.0263691946151903	0.0161531640958394	-0.00529042524902032	0.0580288144794009	0.102585220068215	NA	NA	NA	NA	NA	6.31858565730922	0.0424557539597839	TRUE	FALSE	0.477273446848727
SeqId_3000_66	IVW	5	0.00428152002164084	0.00760861256650003	-0.0106310865810181	0.0191941266242998	0.573625423686935	NA	NA	NA	NA	NA	5.12531392587004	0.274679488186498	FALSE	FALSE	0.867052412064564
SeqId_8297_8	IVW	3	-0.0342061062316126	0.0201608609365508	-0.0737206675645725	0.00530845510134734	0.0897611476135362	NA	NA	NA	NA	NA	1.72314363073294	0.422497472113353	FALSE	FALSE	0.461681598879807
SeqId_12558_3	IVW	3	0.000857521386325621	0.0154032499724111	-0.0293322938044678	0.031047336577119	0.955603537318619	NA	NA	NA	NA	NA	5.9204217810976	0.0518079902050827	FALSE	FALSE	0.994573774878652
SeqId_5061_27	IVW	3	0.0505626236275613	0.0243467189889246	0.00284393126755165	0.0982813159875709	0.0378224584606171	NA	NA	NA	NA	NA	10.179504457268	0.0061595458572061	TRUE	FALSE	0.305889132800241
SeqId_6485_59	IVW	3	-0.00836209516182453	0.0181498034630539	-0.0439350562758905	0.0272108659522414	0.6449948504918	NA	NA	NA	NA	NA	0.494909006576354	0.780785743186797	FALSE	FALSE	0.895518601433894
SeqId_6544_33	IVW	5	0.00699213109063382	0.00988374073911179	-0.0123796447905566	0.0263639069718242	0.479294498302689	NA	NA	NA	NA	NA	2.5194222648221	0.641161345418616	FALSE	FALSE	0.839372437834547
SeqId_4559_64	IVW	3	0.010125328005079	0.00784847875516941	-0.00525740768848082	0.0255080636986388	0.197015693821368	NA	NA	NA	NA	NA	3.70920138246532	0.156515428181316	FALSE	FALSE	0.636463649714602
SeqId_19558_10	IVW	3	-0.0180647609828354	0.0121776957967056	-0.0419326061590632	0.00580308419339248	0.137960164504007	NA	NA	NA	NA	NA	1.27890685604394	0.527580706082523	FALSE	FALSE	0.550957842191544
